8,"t","Honey Final Estimates 2003-2007: Released March 13, 2009, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
8,"t","Honey:  Price by Color Class, United States, 2003-04 1/"
8,"h","","","","","","",""
8,"h","","Price","Price","Price","Price","Price","Price"
8,"h","","","","","","",""
8,"h","Color Class","Co-op and Private","Co-op and Private","Retail","Retail","All","All"
8,"h","","","","","","",""
8,"h","","2003","2004","2003","2004","2003","2004"
8,"h","","","","","","",""
8,"u","","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound"
8,"d","Water White,",,,,,,
8,"d"," Extra White, White",141.1,106.6,185.8,177.7,143.5,109.6
8,"d","",,,,,,
8,"d","Extra Light Amber",132.6,100.6,180.8,145.8,136.5,105.6
8,"d","",,,,,,
8,"d","Light Amber,",,,,,,
8,"d"," Amber, Dark Amber",124.9,88.2,192.6,196.2,131.8,105.7
8,"d","",,,,,,
8,"d","All Other Honey,",,,,,,
8,"d"," Area Specialties",111.2,113.3,246.6,229.0,133.5,161.7
8,"d","",,,,,,
8,"d","All Honey",134.7,101.8,188.5,180.9,138.7,108.8
8,"c",""
8,"f","1/  Prices for each color class and marketing channel are derived by weighting the quantities sold."
