10,"t","Honey Final Estimates 2003-2007: Released March 13, 2009, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
10,"t","Honey:  Price by Color Class, United States, 2007 1/"
10,"h","","","",""
10,"h","","Price","Price","Price"
10,"h","","","",""
10,"h","Color Class","Co-op and Private","Retail","All"
10,"h","","","",""
10,"h","","2007","2007","2007"
10,"h","","","",""
10,"u","","Cents per Pound","Cents per Pound","Cents per Pound"
10,"d","Water White,",,,
10,"d"," Extra White, White",103.0,172.8,104.6
10,"d","",,,
10,"d","Extra Light Amber",97.5,188.0,106.4
10,"d","",,,
10,"d","Light Amber,",,,
10,"d"," Amber, Dark Amber",93.8,218.3,112.5
10,"d","",,,
10,"d","All Other Honey,",,,
10,"d"," Area Specialties",132.7,291.1,175.6
10,"d","",,,
10,"d","All Honey",99.9,204.6,107.7
10,"c",""
10,"f","1/  Prices for each color class and marketing channel are derived by weighting the quantities sold."
