9,"t","Honey Final Estimates 2003-2007: Released March 13, 2009, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
9,"t","Honey:  Price by Color Class, United States, 2005-06 1/"
9,"h","","","","","","",""
9,"h","","Price","Price","Price","Price","Price","Price"
9,"h","","","","","","",""
9,"h","Color Class","Co-op and Private","Co-op and Private","Retail","Retail","All","All"
9,"h","","","","","","",""
9,"h","","2005","2006","2005","2006","2005","2006"
9,"h","","","","","","",""
9,"u","","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound"
9,"d","Water White,",,,,,,
9,"d"," Extra White, White",85.9,95.9,181.3,175.6,89.5,98.2
9,"d","",,,,,,
9,"d","Extra Light Amber",81.9,92.5,176.0,176.0,92.6,100.5
9,"d","",,,,,,
9,"d","Light Amber,",,,,,,
9,"d"," Amber, Dark Amber",78.3,85.9,180.8,201.7,96.1,102.2
9,"d","",,,,,,
9,"d","All Other Honey,",,,,,,
9,"d"," Area Specialties",94.2,110.3,269.0,231.9,109.3,158.1
9,"d","",,,,,,
9,"d","All Honey",83.6,93.0,181.4,192.0,92.2,100.5
9,"c",""
9,"f","1/  Prices for each color class and marketing channel are derived by weighting the quantities sold."
