1,"t","Honey Final Estimates 2008-2012: Released September 4, 2014, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2008"
1,"t","[Producers with 5 or more colonies. Colonies which produced honey in more than one State were counted in each State]"
1,"h","","","","","","",""
1,"h","","Honey","Yield","","","Average","Value"
1,"h","State","Producing","per","Production","Stocks","Price per","of"
1,"h","","Colonies 1/","Colony","","December 15 2/","Pound 3/","Production 4/"
1,"h","","","","","","",""
1,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
1,"d","Alabama",9,66,594,214,190,1129
1,"d","Arizona",25,64,1600,336,126,2016
1,"d","Arkansas",28,75,2100,525,135,2835
1,"d","California",360,51,18360,4039,139,25520
1,"d","Colorado",27,45,1215,656,151,1835
1,"d","Florida",150,79,11850,1304,132,15642
1,"d","Georgia",65,71,4615,369,152,7015
1,"d","Hawaii",10,90,900,225,159,1431
1,"d","Idaho",90,40,3600,1440,146,5256
1,"d","Illinois",8,56,448,116,259,1160
1,"d","",,,,,,
1,"d","Indiana",7,67,469,150,168,788
1,"d","Iowa",24,62,1488,580,158,2351
1,"d","Kansas",10,61,610,128,155,946
1,"d","Kentucky",4,39,156,27,244,381
1,"d","Louisiana",40,77,3080,493,136,4189
1,"d","Maine",7,42,294,79,157,462
1,"d","Michigan",71,73,5183,2021,144,7464
1,"d","Minnesota",122,78,9516,2569,139,13227
1,"d","Mississippi",14,98,1372,110,130,1784
1,"d","Missouri",11,53,583,152,168,979
1,"d","",,,,,,
1,"d","Montana",134,70,9380,4596,137,12851
1,"d","Nebraska",36,67,2412,1254,145,3497
1,"d","Nevada",10,29,290,52,142,412
1,"d","New Jersey",9,40,360,122,162,583
1,"d","New Mexico",6,48,288,95,148,426
1,"d","New York",50,70,3500,1260,165,5775
1,"d","North Carolina",12,52,624,137,218,1360
1,"d","North Dakota",400,90,36000,8640,136,48960
1,"d","Ohio",14,53,742,371,168,1247
1,"d","Oregon",50,43,2150,1097,141,3032
1,"d","",,,,,,
1,"d","Pennsylvania",23,48,1104,276,165,1822
1,"d","South Dakota",225,95,21375,11970,134,28643
1,"d","Tennessee",7,61,427,149,209,892
1,"d","Texas",77,64,4928,1380,134,6604
1,"d","Utah",28,48,1344,242,157,2110
1,"d","Vermont",5,66,330,119,220,726
1,"d","Virginia",6,42,252,45,242,610
1,"d","Washington",49,44,2156,862,151,3256
1,"d","West Virginia",6,43,258,49,216,557
1,"d","Wisconsin",58,80,4640,2366,150,6960
1,"d","Wyoming",39,61,2379,381,137,3259
1,"d","",,,,,,
1,"d","Other States 5/ 6/",16,51,817,163,234,1912
1,"d","",,,,,,
1,"d","United States 6/ 7/",2342,69.9,163789,51159,142.1,232744
1,"c",""
1,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
1,"f","2/ Stocks held by producers."
1,"f","3/ Average price per pound based on expanded sales."
1,"f","4/ Value of production is equal to production multiplied by average price per pound."
1,"f","5/ Connecticut, Delaware, Maryland, Massachusetts, New Hampshire, Oklahoma, Rhode Island, and South Carolina not published separately to avoid disclosing data for individual operations."
1,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
1,"f","7/ United States value of production will not equal summation of States."
