4,"t","Honey Final Estimates 1998-2002: Released April 29, 2004, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
4,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
4,"t","and Value by State and United States, 2001 1/"
4,"h","","","","","","",""
4,"h","","Honey","Yield","","","Average","Value"
4,"h","State","Producing","per","Production","Stocks","Price per","of"
4,"h","","Colonies","Colony","","Dec 15 2/","Pound","Production"
4,"h","","","","","","",""
4,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
4,"d","AL",14,73,1022,235,72,736
4,"d","AZ",43,59,2537,1142,72,1827
4,"d","AR",50,98,4900,1617,65,3185
4,"d","CA",460,61,28060,7857,69,19361
4,"d","CO",26,55,1430,529,71,1015
4,"d","FL",220,100,22000,3432,64,14080
4,"d","GA",55,57,3135,188,70,2195
4,"d","HI",8,87,696,84,87,606
4,"d","ID",100,46,4600,1610,67,3082
4,"d","IL",6,76,456,251,158,720
4,"d","IN",7,76,532,186,92,489
4,"d","IA",33,51,1683,875,75,1262
4,"d","KS",13,51,663,530,96,636
4,"d","KY",4,78,312,125,141,440
4,"d","LA",45,106,4770,572,60,2862
4,"d","ME",11,20,220,106,79,174
4,"d","MD",4,46,184,55,160,294
4,"d","MI",76,60,4560,2827,81,3694
4,"d","MN",135,81,10935,1859,65,7108
4,"d","MS",17,66,1122,224,89,999
4,"d","MO",22,61,1342,336,71,953
4,"d","MT",136,102,13872,4578,67,9294
4,"d","NE",43,48,2064,1115,72,1486
4,"d","NV",9,50,450,36,214,963
4,"d","NJ",11,34,374,71,85,318
4,"d","NM",10,70,700,350,66,462
4,"d","NY",53,70,3710,1781,79,2931
4,"d","NC",13,44,572,172,148,847
4,"d","ND",280,96,26880,9408,69,18547
4,"d","OH",18,81,1458,569,101,1473
4,"d","OK",4,47,188,105,143,269
4,"d","OR",44,44,1936,1200,74,1433
4,"d","PA",26,57,1482,785,92,1363
4,"d","SC",7,40,280,67,79,221
4,"d","SD",235,65,15275,12220,71,10845
4,"d","TN",8,59,472,131,139,656
4,"d","TX",97,79,7663,1533,65,4981
4,"d","UT",23,38,874,315,65,568
4,"d","VT",7,81,567,249,92,522
4,"d","VA",9,52,468,94,126,590
4,"d","WA",48,52,2496,1048,72,1797
4,"d","WV",7,65,455,410,142,646
4,"d","WI",67,81,5427,3419,82,4450
4,"d","WY",38,77,2926,468,65,1902
4,"d","",,,,,,
4,"d","Oth",,,,,,
4,"d"," Sts 3/",8,38,303,137,233,707
4,"d","",,,,,,
4,"d","US 4/",2550,73,186051,64901,71,132989
4,"c",""
4,"f","1/  For producers with 5 or more colonies.  2/  Stocks held by producers.   3/  CT, DE, MA, NH, and RI not published separately to avoid disclosing data for individual operations.  4/  U.S. price weighted by survey expanded sales.  Total may not add due to rounding."
