5,"t","Honey Final Estimates 1998-2002: Released April 29, 2004, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
5,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
5,"t","and Value by State and United States, 2002 1/"
5,"h","","","","","","",""
5,"h","","Honey","Yield","","","Average","Value"
5,"h","State","Producing","per","Production","Stocks","Price per","of"
5,"h","","Colonies","Colony","","Dec 15 2/","Pound","Production"
5,"h","","","","","","",""
5,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
5,"d","AL",12,86,1032,103,118,1218
5,"d","AZ",38,63,2394,1197,108,2586
5,"d","AR",45,88,3960,871,126,4990
5,"d","CA",470,50,23500,3525,132,31020
5,"d","CO",24,60,1440,576,129,1858
5,"d","FL",220,93,20460,2026,114,23324
5,"d","GA",50,52,2600,52,113,2938
5,"d","HI",7,136,952,29,111,1057
5,"d","ID",100,57,5700,1653,137,7809
5,"d","IL",9,80,720,130,147,1058
5,"d","IN",8,62,496,233,119,590
5,"d","IA",33,70,2310,901,143,3303
5,"d","KS",17,52,884,407,150,1326
5,"d","KY",5,54,270,78,163,440
5,"d","LA",35,124,4340,347,116,5034
5,"d","ME",11,41,451,266,121,546
5,"d","MD",3,46,138,21,196,270
5,"d","MI",72,77,5544,1885,140,7762
5,"d","MN",117,73,8541,1110,147,12555
5,"d","MS",18,78,1404,281,123,1727
5,"d","MO",18,50,900,189,142,1278
5,"d","MT",134,63,8442,1097,138,11650
5,"d","NE",43,75,3225,1161,149,4805
5,"d","NV",9,62,558,61,267,1490
5,"d","NJ",11,40,440,92,100,440
5,"d","NM",11,44,484,252,110,532
5,"d","NY",60,98,5880,2470,125,7350
5,"d","NC",16,42,672,74,141,948
5,"d","ND",320,75,24000,8160,146,35040
5,"d","OH",18,70,1260,504,144,1814
5,"d","OK",3,53,159,51,163,259
5,"d","OR",43,49,2107,885,135,2844
5,"d","PA",29,57,1653,827,134,2215
5,"d","SC",5,94,470,14,125,588
5,"d","SD",225,51,11475,2410,142,16295
5,"d","TN",8,61,488,137,140,683
5,"d","TX",114,67,7638,985,114,8707
5,"d","UT",22,59,1298,208,130,1687
5,"d","VT",7,89,623,274,120,748
5,"d","VA",8,38,304,79,190,578
5,"d","WA",50,51,2550,561,127,3239
5,"d","WV",9,51,459,151,132,606
5,"d","WI",70,95,6650,2461,134,8911
5,"d","WY",38,63,2394,383,133,3184
5,"d","",,,,,,
5,"d","Oth",,,,,,
5,"d"," Sts 3/",9,50,453,216,229,1036
5,"d","",,,,,,
5,"d","US 4/",2574,67,171718,39393,133,228338
5,"c",""
5,"f","1/  For producers with 5 or more colonies.  2/  Stocks held by producers.   3/  CT, DE, MA, NH, and RI not published separately to avoid disclosing data for individual operations.  4/  U.S. price weighted by survey expanded sales.  Total may not add due to rounding."
