2,"t","Honey Final Estimates 1998-2002: Released April 29, 2004, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
2,"t","and Value by State and United States, 1999 1/"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","Producing","per","Production","Stocks","Price per","of"
2,"h","","Colonies","Colony","","Dec 15 2/","Pound","Production"
2,"h","","","","","","",""
2,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
2,"d","AL",17,68,1156,185,56,647
2,"d","AZ",52,62,3224,1548,62,1999
2,"d","AR",52,89,4628,2592,53,2453
2,"d","CA",465,60,27900,9486,55,15345
2,"d","CO",27,76,2052,1436,68,1395
2,"d","FL",228,102,23256,4186,53,12326
2,"d","GA",65,51,3315,497,64,2122
2,"d","HI",8,80,640,32,80,512
2,"d","ID",120,48,5760,3110,59,3398
2,"d","IL",9,66,594,327,115,683
2,"d","IN",10,81,810,437,90,729
2,"d","IA",40,65,2600,2028,65,1690
2,"d","KS",13,67,871,854,111,967
2,"d","KY",3,50,150,12,124,186
2,"d","LA",48,114,5472,821,49,2681
2,"d","ME",14,22,308,89,83,256
2,"d","MD",6,46,276,50,164,453
2,"d","MI",73,85,6205,3475,66,4095
2,"d","MN",145,82,11890,3210,61,7253
2,"d","MS",18,73,1314,591,54,710
2,"d","MO",24,65,1560,437,68,1061
2,"d","MT",122,70,8540,2135,60,5124
2,"d","NE",58,77,4466,1965,61,2724
2,"d","NV",9,45,405,271,154,624
2,"d","NJ",10,44,440,154,57,251
2,"d","NM",15,52,780,476,77,601
2,"d","NY",69,70,4830,2077,66,3188
2,"d","NC",9,46,414,104,162,671
2,"d","ND",255,105,26775,8836,59,15797
2,"d","OH",20,74,1480,784,72,1066
2,"d","OK",6,45,270,49,134,362
2,"d","OR",45,57,2565,2026,80,2052
2,"d","PA",28,60,1680,790,76,1277
2,"d","SD",224,104,23296,13046,60,13978
2,"d","TN",8,51,408,106,130,530
2,"d","TX",108,81,8748,2799,64,5599
2,"d","UT",26,45,1170,433,68,796
2,"d","VT",6,66,396,222,63,249
2,"d","VA",7,35,245,86,117,287
2,"d","WA",52,50,2600,1170,60,1560
2,"d","WV",6,39,234,152,109,255
2,"d","WI",80,75,6000,4560,68,4080
2,"d","WY",37,72,2664,746,61,1625
2,"d","",,,,,,
2,"d","Oth",,,,,,
2,"d"," Sts 3/",15,45,681,274,198,1347
2,"d","",,,,,,
2,"d","US 4/",2652,77,203068,78664,60,125004
2,"c",""
2,"f","1/  For producers with 5 or more colonies.  2/  Stocks held by producers.   3/  CT, DE, MA, NH, RI, and SC not published separately to avoid disclosing data for individual operations.  4/  U.S. price weighted by survey expanded sales.  Total may not add due to rounding."
